PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0001000000 uM,Activity at 0.0003000000 uM,Activity at 0.0006116734 uM,Activity at 0.00133 uM,Activity at 0.00297 uM,Activity at 0.00673 uM,Activity at 0.015 uM,Activity at 0.033 uM,Activity at 0.075 uM,Activity at 0.167 uM,Activity at 0.369 uM,Activity at 0.412 uM,Activity at 0.836 uM,Activity at 1.842 uM,Activity at 2.061 uM,Activity at 4.179 uM,Activity at 9.216 uM,Activity at 20.61 uM,Activity at 46.08 uM,Activity at 92.17 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,NONE,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.0001,0.0003,0.000611673,0.00133138,0.00296971,0.00672706,0.0148955,0.033464,0.0746228,0.167221,0.368625,0.4122,0.835825,1.84212,2.061,4.17907,9.21587,20.6057,46.0833,92.17,
1,11110898,2890,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,Inactive,0,http://assay.nih.gov/htsws/rest/display/herg-trans-p1/NCGC00015200-01/38505538,,Inactive,,,,0,,,4.9549,0.767,7,-0.3998,4,0 0 0 1 0 0 0,6.851,,,,,1.5186,,-2.4165,,9.5595,,-8.714,,,4.6958,,,6.3744,,6.851,,QC'd by SigmaAldrich
2,11112213,5330,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016324-01/38787394,,Inactive,,,,0,,,,,,,4,,-0.0467,,-1.6126,-5.3069,-7.7015,-3.7337,-0.1751,14.8772,-13.8599,1.1946,11.4634,4.8927,,7.5225,-4.8906,,0.9369,0.259,-0.0467,,,QC'd by Prestwick Chemical; Inc.
3,11112219,7059648,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016330-01/38787014,,Inactive,,,,0,,,,,,,4,,-2.963,,-4.2356,-0.8907,-2.7253,11.9586,-24.338,0.6948,-0.2166,17.3832,2.8816,14.8128,,-3.487,-4.5829,,1.1259,1.5475,-2.963,,,QC'd by NCGC
4,11112307,20056532,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016413-01/38786139,,Inactive,,,,0,,,,,,,4,,8.0446,,22.691,-1.2192,7.9215,3.8542,3.4024,8.4772,20.5399,-0.3713,-9.2937,-6.7068,,1.1173,1.7816,,22.1888,7.3406,8.0446,,,QC'd by NCGC
5,11112680,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Active,84,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016770-01/38786885,,Inhibitor,4.4668,94.0137,,84,Complete curve; high efficacy,-5.35,1.4163,0.9531,-90.961,3.0527,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-84.2806,,0.8565,6.4761,-8.6962,11.1269,1.7578,17.4762,0.7527,0.0054,1.5406,1.2566,,-10.8087,-18.727,,-33.88,-68.9276,-84.2806,,,QC'd by Prestwick Chemical; Inc.
6,11112745,37392,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,Active,90,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016833-01/38786760,,Inhibitor,0.3981,93.2445,,90,Complete curve; high efficacy,-6.4,1.4641,0.987,-102.344,-9.099,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-105.358,,-11.5813,1.6894,-6.3887,-20.5385,-7.1843,-8.7103,-14.5533,-14.9233,-29.9976,-51.775,,-79.2671,-93.205,,-99.7717,-98.3371,-105.358,,,QC'd by Prestwick Chemical; Inc.
7,11112806,3446,C1CCC(CC1)(CC(=O)O)CN,Inactive,0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016891-01/38786766,,Inactive,,,,0,,,,,,,4,,2.2798,,8.9169,-1.943,-7.9877,4.2948,2.212,1.9892,-1.1369,12.2006,7.0221,3.9601,,12.3049,8.062,,2.3232,-10.2103,2.2798,,,QC'd by Prestwick Chemical; Inc.
8,11112878,441130,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016962-01/39156257,,Inactive,,,,0,,,4.5045,0.7295,17.5,1.0236,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17.2276,,,-2.502,4.0387,6.393,-0.9075,3.8115,-0.4677,-1.8645,0.2952,0.2018,,2.2163,4.9814,,-4.5637,2.1971,11.8344,17.2276,,QC'd by Prestwick Chemical; Inc.
