cluster_id,size,pos,neg,fold
0,27,0,27,0
1,26,0,26,1
2,15,0,15,2
3,15,0,15,3
4,6,0,6,1
5,13,0,13,4
6,5,0,5,2
7,12,0,12,4
8,12,0,12,2
9,11,0,11,3
10,11,0,11,4
11,11,3,8,1
12,10,0,10,1
13,2,0,2,3
14,10,0,10,1
15,10,0,10,1
16,9,0,9,1
17,9,5,4,3
18,3,0,3,4
19,9,0,9,1
20,2,0,2,2
21,8,0,8,3
22,8,2,6,3
23,8,0,8,3
24,1,0,1,1
25,1,0,1,0
26,3,0,3,1
27,7,0,7,3
28,1,0,1,4
29,7,0,7,3
30,7,2,5,1
31,2,0,2,0
32,7,2,5,3
33,7,0,7,3
34,7,0,7,3
35,6,1,5,1
36,6,0,6,1
37,6,0,6,3
38,2,0,2,4
39,6,0,6,3
40,4,0,4,4
41,6,0,6,3
42,5,0,5,0
43,6,1,5,3
44,6,0,6,1
45,6,2,4,1
46,6,1,5,1
47,6,0,6,3
48,3,1,2,0
49,4,1,3,0
50,6,1,5,3
51,6,0,6,1
52,5,2,3,2
53,5,0,5,0
54,2,0,2,1
55,5,0,5,0
56,5,1,4,0
57,5,0,5,3
58,5,3,2,0
59,1,0,1,3
60,5,0,5,0
61,4,0,4,4
62,5,0,5,0
63,2,0,2,3
64,5,3,2,2
65,5,0,5,2
66,5,0,5,2
67,5,0,5,2
68,3,0,3,3
69,5,0,5,2
70,4,1,3,4
71,4,0,4,4
72,2,0,2,2
73,2,0,2,0
74,4,0,4,4
75,4,1,3,4
76,4,0,4,4
77,4,0,4,4
78,2,0,2,4
79,4,0,4,4
80,4,0,4,4
81,4,0,4,4
82,4,0,4,4
83,4,0,4,4
84,4,0,4,2
85,1,1,0,2
86,4,1,3,4
87,4,1,3,0
88,1,0,1,1
89,4,2,2,2
90,3,0,3,4
91,4,0,4,0
92,4,0,4,4
93,4,0,4,2
94,4,2,2,0
95,3,1,2,1
96,4,0,4,2
97,4,1,3,0
98,4,0,4,2
99,4,0,4,0
100,3,0,3,0
101,4,1,3,2
102,4,1,3,0
103,2,0,2,3
104,3,2,1,3
105,4,1,3,2
106,4,2,2,2
107,4,1,3,0
108,4,0,4,0
109,2,1,1,2
110,4,0,4,2
111,4,0,4,0
112,4,0,4,2
113,4,1,3,0
114,4,0,4,2
115,4,0,4,0
116,1,0,1,0
117,4,0,4,2
118,4,0,4,0
119,4,0,4,2
120,4,1,3,0
121,4,4,0,4
122,4,1,3,4
123,3,0,3,2
124,3,0,3,3
125,3,0,3,4
126,3,0,3,0
127,1,0,1,3
128,1,0,1,0
129,3,0,3,2
130,1,0,1,2
131,3,0,3,3
132,3,0,3,2
133,3,1,2,4
134,3,0,3,1
135,3,0,3,0
136,3,0,3,3
137,3,0,3,2
138,1,0,1,1
139,1,0,1,0
140,3,0,3,4
141,3,0,3,1
142,3,0,3,0
143,3,0,3,3
144,3,0,3,2
145,1,0,1,4
146,3,0,3,1
147,3,0,3,4
148,3,0,3,3
149,3,0,3,3
150,3,1,2,2
151,3,0,3,1
152,2,0,2,2
153,3,2,1,0
154,3,2,1,1
