dataset,n_rows,n_unique_cid,n_unique_raw_smiles,n_unique_canonical_smiles,n_label_pos,n_label_neg,table_block,fold,n_pos,n_neg,n_scaffolds,n_clusters,analysis_set,n,mean,median,q1,q3,min,max,exact_1.0_n,exact_1.0_pct,n_external_unique_scaffolds,n_scaffolds_seen_in_internal,n_scaffolds_novel_vs_internal,pct_scaffolds_novel_vs_internal
internal_compound_curated,6958.0,6905,6958.0,6958.0,766.0,6192.0,dataset_assembly,,,,,,,,,,,,,,,,,,,
internal_graph_augmented,10691.0,6878,10612.0,6931.0,4512.0,6179.0,dataset_assembly,,,,,,,,,,,,,,,,,,,
external_compound_assay,4002.0,4002,4002.0,4002.0,592.0,3410.0,dataset_assembly,,,,,,,,,,,,,,,,,,,
external_graph_graphable,3999.0,3999,3999.0,3999.0,592.0,3407.0,dataset_assembly,,,,,,,,,,,,,,,,,,,
,3489.0,2515,,2529.0,,,M2_scaffold_folds,0.0,1152,2337,370.0,,,,,,,,,,,,,,,
,1320.0,760,,770.0,,,M2_scaffold_folds,1.0,660,660,370.0,,,,,,,,,,,,,,,
,2996.0,2066,,2076.0,,,M2_scaffold_folds,2.0,1104,1892,369.0,,,,,,,,,,,,,,,
,1574.0,809,,819.0,,,M2_scaffold_folds,3.0,906,668,369.0,,,,,,,,,,,,,,,
,1312.0,728,,737.0,,,M2_scaffold_folds,4.0,690,622,369.0,,,,,,,,,,,,,,,
,2202.0,1378,,1387.0,,,M4_butina_folds,0.0,978,1224,,1156.0,,,,,,,,,,,,,,
,2206.0,1371,,1386.0,,,M4_butina_folds,1.0,984,1222,,1142.0,,,,,,,,,,,,,,
,2096.0,1372,,1386.0,,,M4_butina_folds,2.0,852,1244,,1156.0,,,,,,,,,,,,,,
,2101.0,1378,,1386.0,,,M4_butina_folds,3.0,858,1243,,1145.0,,,,,,,,,,,,,,
,2086.0,1379,,1386.0,,,M4_butina_folds,4.0,840,1246,,1157.0,,,,,,,,,,,,,,
,,,,,,,external_similarity,,,,,,external_original_vs_internal,3999.0,0.8110252031448647,1.0,0.583974358974359,1.0,0.15311004784688995,1.0,2004.0,50.112528132033006,,,,
,,,,,,,external_similarity,,,,,,external_strict_vs_internal,1683.0,0.5695184151094613,0.5294117647058824,0.3969421101774043,0.7083333333333334,0.15311004784688995,1.0,93.0,5.525846702317291,,,,
,,,,,,,external_scaffold_overlap,,,,,,external_original,,,,,,,,,,1563.0,962.0,601.0,38.45169545745362
,,,,,,,external_scaffold_overlap,,,,,,external_strict,,,,,,,,,,921.0,337.0,584.0,63.40933767643865
