PUBCHEM_CID,SMILES_ISO,label,Fit_LogAC50,Efficacy,Curve_Description,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Analysis Comment,Activity_Score,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0001000000 uM,Activity at 0.0003000000 uM,Activity at 0.0006116734 uM,Activity at 0.00133 uM,Activity at 0.00297 uM,Activity at 0.00673 uM,Activity at 0.015 uM,Activity at 0.033 uM,Activity at 0.075 uM,Activity at 0.167 uM,Activity at 0.369 uM,Activity at 0.412 uM,Activity at 0.836 uM,Activity at 1.842 uM,Activity at 2.061 uM,Activity at 4.179 uM,Activity at 9.216 uM,Activity at 20.61 uM,Activity at 46.08 uM,Activity at 92.17 uM,Compound QC,PUBCHEM_EXT_DATASOURCE_SMILES_N,SMILES_raw,SMILES_canonical,CID_std,label_std,dataset_name,overlap_cid,overlap_raw_smiles,overlap_canonical_smiles,strict_exclude,strict_keep
2890.0,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,0.0,,,,Inactive,1,11110898.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p1/NCGC00015200-01/38505538,,Inactive,,,0,4.9549,0.767,7.0,-0.3998,4.0,0 0 0 1 0 0 0,6.851,,,,,1.5186,,-2.4165,,9.5595,,-8.714,,,4.6958,,,6.3744,,6.851,,QC'd by SigmaAldrich,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,2890,0,external_compound_assay,False,False,False,False,True
7059648.0,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,0.0,,,,Inactive,3,11112219.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016330-01/38787014,,Inactive,,,0,,,,,4.0,,-2.963,,-4.2356,-0.8907,-2.7253,11.9586,-24.338,0.6948,-0.2166,17.3832,2.8816,14.8128,,-3.487,-4.5829,,1.1259,1.5475,-2.963,,,QC'd by NCGC,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,C[C@H]1C[C@@H]2[C@@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,7059648,0,external_compound_assay,False,False,False,False,True
20056532.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,0.0,,,,Inactive,4,11112307.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016413-01/38786139,,Inactive,,,0,,,,,4.0,,8.0446,,22.691,-1.2192,7.9215,3.8542,3.4024,8.4772,20.5399,-0.3713,-9.2937,-6.7068,,1.1173,1.7816,,22.1888,7.3406,8.0446,,,QC'd by NCGC,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]12C,20056532,0,external_compound_assay,False,False,False,False,True
4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1.0,-5.35,94.0137,Complete curve; high efficacy,Active,5,11112680.0,84.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016770-01/38786885,,Inhibitor,4.4668,,84,1.4163,0.9531,-90.961,3.0527,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-84.2806,,0.8565,6.4761,-8.6962,11.1269,1.7578,17.4762,0.7527,0.0054,1.5406,1.2566,,-10.8087,-18.727,,-33.88,-68.9276,-84.2806,,,QC'd by Prestwick Chemical; Inc.,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4189,1,external_compound_assay,False,False,False,False,True
37392.0,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,1.0,-6.4,93.2445,Complete curve; high efficacy,Active,6,11112745.0,90.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00016833-01/38786760,,Inhibitor,0.3981,,90,1.4641,0.987,-102.344,-9.099,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-105.358,,-11.5813,1.6894,-6.3887,-20.5385,-7.1843,-8.7103,-14.5533,-14.9233,-29.9976,-51.775,,-79.2671,-93.205,,-99.7717,-98.3371,-105.358,,,QC'd by Prestwick Chemical; Inc.,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl,37392,1,external_compound_assay,False,False,False,False,True
92178.0,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,1.0,-5.2,90.5726,Complete curve; high efficacy,Active,9,11112956.0,83.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00017040-01/38786218,,Inhibitor,6.3096,,83,2.4064,0.8391,-91.821,-1.2484,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-82.1439,,3.1948,-0.2037,-1.4247,15.3397,-13.7514,1.845,-16.1244,9.0182,2.9047,-4.8997,,-13.4871,-15.437,,0.0,-80.3502,-82.1439,,,QC'd by Prestwick Chemical; Inc.,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.CS(=O)(=O)O.CS(=O)(=O)O,92178,1,external_compound_assay,False,False,False,False,True
6604007.0,C[C@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,0.0,,,,Inactive,11,11113949.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00025032-01/39156593,,Inactive,,,0,,,,,4.0,,10.2033,,,-7.3626,2.4348,5.2872,13.4939,7.981,2.9342,15.7154,-4.3305,-1.5548,,-2.8801,-4.5053,,4.6487,8.3998,0.6426,10.2033,,QC'd by Tocris,C[C@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,C[C@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,CN=C(NC#N)Nc1ccc(C2=NNC(=O)C[C@@H]2C)cc1,6604007,0,external_compound_assay,False,False,False,False,True
285033.0,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,0.0,,,,Inactive,12,11114076.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00025155-01/39155964,,Inactive,,,0,,,,,4.0,,-2.1116,,,-28.7825,-2.2443,3.8763,10.4134,1.9356,8.9142,1.9076,-2.4154,0.0039,,1.0908,-1.8155,,-2.076,8.3905,-2.0515,-2.1116,,QC'd by Tocris,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,285033,0,external_compound_assay,False,False,False,False,True
481696.0,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,0.0,,,,Inactive,16,124893631.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00181004-01/39156186,,Inactive,,,0,4.9549,0.8314,-5.7196,9.0,4.0,0 0 0 0 0 1 0 0 1 0 0 0 0 0 0,-2.3052,,,10.2856,10.0305,8.4151,8.3354,8.335,-1.3597,6.9628,4.4899,-2.148,,16.6144,4.7617,,-7.4964,-8.933,-4.0668,-2.3052,,QC'd by InterBioScreen,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,481696,0,external_compound_assay,False,False,False,False,True
12850184.0,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],0.0,,,,Inactive,17,144203552.0,0.0,http://assay.nih.gov/htsws/rest/display/herg-trans-p2/NCGC00013012-01/38786285,,Inactive,,,0,,,,,4.0,,5.612,,,8.4572,3.4778,4.108,18.4115,5.5253,10.328,-8.5348,0.0,12.1212,,14.2725,11.6339,,14.9565,16.6862,4.5935,5.612,,QC'd by NCI,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].[Ca+2],12850184,0,external_compound_assay,False,False,False,False,True
