SMILES,Label,SampleWeight,CID,SMILES_raw,SMILES_canonical,CID_std,label_std,dataset_name,overlap_cid,overlap_raw_smiles,overlap_canonical_smiles,strict_exclude,strict_keep,nn_tanimoto_to_internal
C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,0,1.0,2890,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,2890,0,external_graph_graphable,False,False,False,False,True,0.4489795918367347
COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0,1.0,5330,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,5330,0,external_graph_graphable,True,False,True,True,False,1.0
C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,0,1.0,7059648,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,C[C@H]1C[C@@H]2[C@@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,7059648,0,external_graph_graphable,False,False,False,False,True,1.0
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,0,1.0,20056532,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]12C,20056532,0,external_graph_graphable,False,False,False,False,True,1.0
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1,1.0,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4189,1,external_graph_graphable,False,False,False,False,True,0.7872340425531915
CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,1,1.0,37392,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl,37392,1,external_graph_graphable,False,False,False,False,True,0.3424657534246575
C1CCC(CC1)(CC(=O)O)CN,0,1.0,3446,C1CCC(CC1)(CC(=O)O)CN,NCC1(CC(=O)O)CCCCC1,3446,0,external_graph_graphable,True,False,True,True,False,1.0
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,0,1.0,441130,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,441130,0,external_graph_graphable,True,False,True,True,False,1.0
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,1,1.0,92178,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.CS(=O)(=O)O.CS(=O)(=O)O,92178,1,external_graph_graphable,False,False,False,False,True,0.49230769230769234
C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,0,1.0,3547,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,3547,0,external_graph_graphable,False,False,True,True,False,1.0
