SMILES,Label,SampleWeight,CID,SMILES_raw,SMILES_canonical,CID_std,label_std,dataset_name,overlap_cid,overlap_raw_smiles,overlap_canonical_smiles,strict_exclude,strict_keep
C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,0,1.0,2890,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,2890,0,external_graph_graphable,False,False,False,False,True
C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,0,1.0,7059648,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,C[C@H]1C[C@@H]2[C@@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,7059648,0,external_graph_graphable,False,False,False,False,True
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,0,1.0,20056532,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]12C,20056532,0,external_graph_graphable,False,False,False,False,True
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1,1.0,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4189,1,external_graph_graphable,False,False,False,False,True
CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,1,1.0,37392,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl,37392,1,external_graph_graphable,False,False,False,False,True
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,1,1.0,92178,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.CS(=O)(=O)O.CS(=O)(=O)O,92178,1,external_graph_graphable,False,False,False,False,True
C[C@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,0,1.0,6604007,C[C@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,CN=C(NC#N)Nc1ccc(C2=NNC(=O)C[C@@H]2C)cc1,6604007,0,external_graph_graphable,False,False,False,False,True
CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,0,1.0,285033,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,285033,0,external_graph_graphable,False,False,False,False,True
C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,0,1.0,481696,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,481696,0,external_graph_graphable,False,False,False,False,True
C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],0,1.0,12850184,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].[Ca+2],12850184,0,external_graph_graphable,False,False,False,False,True
