analysis_set,recall,precision,threshold,pr_auc,n,n_pos,n_neg
original,1.0,0.14803700925231308,0.031973068,0.44064149552255333,3999,592,3407
original,1.0,0.14807403701850924,0.041268,0.44064149552255333,3999,592,3407
original,1.0,0.14811108331248438,0.044372957,0.44064149552255333,3999,592,3407
original,1.0,0.14814814814814814,0.0470898,0.44064149552255333,3999,592,3407
original,1.0,0.14818523153942428,0.05036375,0.44064149552255333,3999,592,3407
original,1.0,0.14822233350025038,0.05231541,0.44064149552255333,3999,592,3407
original,1.0,0.14825945404457802,0.05257102,0.44064149552255333,3999,592,3407
original,1.0,0.14829659318637275,0.054506585,0.44064149552255333,3999,592,3407
original,1.0,0.14833375093961412,0.05824486,0.44064149552255333,3999,592,3407
original,1.0,0.14837092731829574,0.058459535,0.44064149552255333,3999,592,3407
original,1.0,0.14840812233642517,0.05900889,0.44064149552255333,3999,592,3407
original,1.0,0.14844533600802406,0.06050203,0.44064149552255333,3999,592,3407
original,1.0,0.14848256834712817,0.061408855,0.44064149552255333,3999,592,3407
original,1.0,0.14851981936778724,0.061631575,0.44064149552255333,3999,592,3407
original,1.0,0.14855708908406526,0.0633561,0.44064149552255333,3999,592,3407
original,1.0,0.14859437751004015,0.06436484,0.44064149552255333,3999,592,3407
original,1.0,0.14863168465980417,0.06594591,0.44064149552255333,3999,592,3407
original,1.0,0.1486690105474636,0.06648971,0.44064149552255333,3999,592,3407
original,1.0,0.1487063551871389,0.0676694,0.44064149552255333,3999,592,3407
original,1.0,0.1487437185929648,0.06793812,0.44064149552255333,3999,592,3407
original,1.0,0.14878110077909024,0.06842328,0.44064149552255333,3999,592,3407
original,1.0,0.14881850175967823,0.0688523,0.44064149552255333,3999,592,3407
original,1.0,0.1488559215489062,0.07225959,0.44064149552255333,3999,592,3407
original,1.0,0.1488933601609658,0.072386526,0.44064149552255333,3999,592,3407
original,1.0,0.14893081761006288,0.07323693,0.44064149552255333,3999,592,3407
original,1.0,0.14896829391041772,0.07373747,0.44064149552255333,3999,592,3407
original,1.0,0.1490057890762648,0.07388764,0.44064149552255333,3999,592,3407
original,1.0,0.14904330312185296,0.074027546,0.44064149552255333,3999,592,3407
original,1.0,0.14908083606144548,0.07412321,0.44064149552255333,3999,592,3407
original,1.0,0.1491183879093199,0.07571708,0.44064149552255333,3999,592,3407
original,1.0,0.1491559586797682,0.076091446,0.44064149552255333,3999,592,3407
original,1.0,0.14919354838709678,0.07665235,0.44064149552255333,3999,592,3407
original,1.0,0.14923115704562642,0.0781659,0.44064149552255333,3999,592,3407
original,1.0,0.14926878466969237,0.078982525,0.44064149552255333,3999,592,3407
original,1.0,0.1493064312736444,0.07914293,0.44064149552255333,3999,592,3407
original,1.0,0.14934409687184663,0.07979888,0.44064149552255333,3999,592,3407
original,1.0,0.14938178147867778,0.07995744,0.44064149552255333,3999,592,3407
original,1.0,0.14941948510853104,0.07997055,0.44064149552255333,3999,592,3407
original,1.0,0.1494572077758142,0.080766425,0.44064149552255333,3999,592,3407
original,1.0,0.1494949494949495,0.082343645,0.44064149552255333,3999,592,3407
original,1.0,0.14953271028037382,0.082583025,0.44064149552255333,3999,592,3407
original,1.0,0.14957049014653864,0.082998246,0.44064149552255333,3999,592,3407
original,1.0,0.14960828910791002,0.08321313,0.44064149552255333,3999,592,3407
original,1.0,0.14964610717896865,0.08467156,0.44064149552255333,3999,592,3407
