SMILES,Label,SampleWeight,CID
C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3,0,1.0,2890
COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0,1.0,5330
C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,0,1.0,7059648
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,0,1.0,20056532
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1,1.0,4189
CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,1,1.0,37392
C1CCC(CC1)(CC(=O)O)CN,0,1.0,3446
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,0,1.0,441130
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,1,1.0,92178
C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,0,1.0,3547
C[C@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,0,1.0,6604007
CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,0,1.0,285033
CCCCNC1=C2C=NN(C2=NC(=C1C(=O)OCC)C)CC,0,1.0,5522
C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],0,1.0,47528
CC(C1=CC=CC=C1)N2C=NC=C2C(=O)OC,0,1.0,21474
C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,0,1.0,481696
C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],0,1.0,12850184
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],0,1.0,89753
C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,0,1.0,13218779
C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,0,1.0,142766
CC(C)(C)C1=C(C=CC(=C1)O)O,0,1.0,16043
