SMILES,Label,SampleWeight,CID
CCn1cc[n+](C)c1,1,1.0,2758873
c1c[n+](C)cn1CC,1,1.0,2758873
C[n+]1cn(CC)cc1,1,1.0,2758873
n1(CC)c[n+](cc1)C,1,1.0,2758873
c1[n+](cn(c1)CC)C,1,1.0,2758873
c1[n+](C)ccn1CC,1,1.0,2758873
CC(=O)[O-],0,1.0,6537495
CCCCn1cc[n+](C)c1,0,1.0,11171745
CCCC[N+]1(C)CCCC1,0,1.0,53316409
O=S(=O)([O-])[O-],1,1.0,61444
O=S([O-])([O-])=O,1,1.0,61444
O=S([O-])(=O)[O-],1,1.0,61444
[O-]S(=O)(=O)[O-],1,1.0,61444
S(=O)([O-])(=O)[O-],1,1.0,61444
O=S([O-])([O-])=O,1,1.0,61444
CCCCn1cc[n+](C)c1C,0,1.0,2734167
CCCC[n+]1ccccc1,0,1.0,2734176
CC[N+]1(C)CCCC1,1,1.0,12059921
C1CCC[N+]1(CC)C,1,1.0,12059921
CC[N+]1(CCCC1)C,1,1.0,12059921
C1CCC[N+]1(CC)C,1,1.0,12059921
C([N+]1(C)CCCC1)C,1,1.0,12059921
C1C[N+](CC)(C)CC1,1,1.0,12059921
CCCC[n+]1ccccc1C,0,1.0,13240377
CCCC[N+]1(C)CCCCC1,0,1.0,12184311
CCCC[n+]1cccc(C)c1,0,1.0,12248306
O=[N+]([O-])[O-],0,1.0,24937
CCC[N+]1(C)CCCC1,0,1.0,25171607
O=C([O-])[O-],1,1.0,15407
[O-]C([O-])=O,1,1.0,15407
[O-]C([O-])=O,1,1.0,15407
[O-]C(=O)[O-],1,1.0,15407
[O-]C(=O)[O-],1,1.0,15407
[O-]C(=O)[O-],1,1.0,15407
c1cc[cH-]c1,0,1.0,92884
CC[n+]1ccccc1,0,1.0,23160050
CCC[N+]1(C)CCCCC1,0,1.0,16726630
CCCn1cc[n+](C)c1,0,1.0,12040508
CCCCCCn1cc[n+](C)c1,1,1.0,10411334
c1n(CCCCCC)c[n+](c1)C,1,1.0,10411334
CCCCCCn1c[n+](cc1)C,1,1.0,10411334
C(n1c[n+](C)cc1)CCCCC,1,1.0,10411334
[n+]1(C)ccn(c1)CCCCCC,1,1.0,10411334
[n+]1(C)ccn(c1)CCCCCC,1,1.0,10411334
CCCCCCCCCCn1cc[n+](C)c1,1,1.0,11461044
C(CCCCC)CCCCn1cc[n+](C)c1,1,1.0,11461044
C(CCCCCn1cc[n+](c1)C)CCCC,1,1.0,11461044
C[n+]1cn(CCCCCCCCCC)cc1,1,1.0,11461044
c1c[n+](C)cn1CCCCCCCCCC,1,1.0,11461044
C(n1c[n+](cc1)C)CCCCCCCCC,1,1.0,11461044
CCCCCCCCn1cc[n+](C)c1,1,1.0,2734223
C(CCCCCCn1c[n+](cc1)C)C,1,1.0,2734223
C(n1c[n+](cc1)C)CCCCCCC,1,1.0,2734223
C(CCCCCCC)n1c[n+](cc1)C,1,1.0,2734223
n1(cc[n+](c1)C)CCCCCCCC,1,1.0,2734223
C(CCCCC)CCn1cc[n+](C)c1,1,1.0,2734223
CCn1cc[n+](C)c1C,0,1.0,21932259
CCCC[n+]1ccc(C)cc1,0,1.0,13487610
O=C([O-])c1ccccc1,0,1.0,23661960
Oc1cccc2cccnc12,0,1.0,1923
OCCN(CCO)CCO,0,1.0,25213
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,1.0,5281064
CC(NCC(COc1ccc(cc1)COCCOC(C)C)O)C,1,1.0,5281064
C(C(COc1ccc(COCCOC(C)C)cc1)O)NC(C)C,1,1.0,5281064
N(C(C)C)CC(COc1ccc(COCCOC(C)C)cc1)O,1,1.0,5281064
OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C,1,1.0,5281064
C(OCCOC(C)C)c1ccc(cc1)OCC(O)CNC(C)C,1,1.0,5281064
O=C(O)COc1ccc(Cl)cc1Cl,0,1.0,16180
CCCCCCCCCCCCCCCCn1cc[n+](C)c1,1,1.0,2734231
C(CCCCCCCCCn1c[n+](cc1)C)CCCCCC,1,1.0,2734231
C(CCCCCCCCCCCCn1cc[n+](C)c1)CCC,1,1.0,2734231
CCCCCCCCCCCCCCCCn1cc[n+](c1)C,1,1.0,2734231
C(CCCCCCn1c[n+](cc1)C)CCCCCCCCC,1,1.0,2734231
n1(CCCCCCCCCCCCCCCC)cc[n+](C)c1,1,1.0,2734231
C[N+](C)(C)CCO,1,1.0,53260965
C[N+](CCO)(C)C,1,1.0,53260965
OCC[N+](C)(C)C,1,1.0,53260965
C[N+](CCO)(C)C,1,1.0,53260965
[N+](C)(C)(CCO)C,1,1.0,53260965
C(C[N+](C)(C)C)O,1,1.0,53260965
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0,1.0,54680782
F[B-](F)(F)F,0,1.0,4343483
S=C([S-])NCCNC(=S)[S-],0,1.0,3032297
CCN(CC)C(=S)[S-],1,1.0,26633
CCN(C(=S)[S-])CC,1,1.0,26633
C(N(CC)C([S-])=S)C,1,1.0,26633
S=C([S-])N(CC)CC,1,1.0,26633
C(C)N(CC)C([S-])=S,1,1.0,26633
C(N(C(=S)[S-])CC)C,1,1.0,26633
CCCCC(CC)C(=O)[O-],0,1.0,61082
O=C(O)CC(O)(CC(=O)O)C(=O)O,1,1.0,5284342
C(C(CC(O)=O)(O)CC(=O)O)(=O)O,1,1.0,5284342
C(CC(CC(=O)O)(C(=O)O)O)(=O)O,1,1.0,5284342
C(=O)(C(CC(O)=O)(CC(=O)O)O)O,1,1.0,5284342
C(O)(=O)CC(C(O)=O)(O)CC(O)=O,1,1.0,5284342
OC(=O)CC(O)(C(O)=O)CC(O)=O,1,1.0,5284342
Nc1ccccc1,0,1.0,6115
[C-]#N,0,1.0,10474
CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0,1.0,20055509
NCCN,0,1.0,3301
CNC,0,1.0,13379149
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1,1.0,5284366
C(CCN(C)C)(c1ccccn1)c1ccc(cc1)Cl,1,1.0,5284366
C(CN(C)C)C(c1ccccn1)c1ccc(Cl)cc1,1,1.0,5284366
c1cc(ncc1)C(CCN(C)C)c1ccc(cc1)Cl,1,1.0,5284366
N(C)(C)CCC(c1ccccn1)c1ccc(cc1)Cl,1,1.0,5284366
c1cc(C(c2ncccc2)CCN(C)C)ccc1Cl,1,1.0,5284366
CCCC(CCC)C(=O)O,1,1.0,23663956
C(C(CCC)C(O)=O)CC,1,1.0,23663956
O=C(O)C(CCC)CCC,1,1.0,23663956
C(=O)(C(CCC)CCC)O,1,1.0,23663956
OC(=O)C(CCC)CCC,1,1.0,23663956
CCCC(CCC)C(O)=O,1,1.0,23663956
