SMILES,y_true,p_ens,max_sim_rest,sim_bin
CCn1cc[n+](C)c1,1,0.36792946,,
c1c[n+](C)cn1CC,1,0.5236689,,
C[n+]1cn(CC)cc1,1,0.42970037,,
n1(CC)c[n+](cc1)C,1,0.53236294,,
c1[n+](cn(c1)CC)C,1,0.5236689,,
c1[n+](C)ccn1CC,1,0.53236294,,
CC(=O)[O-],0,0.21761866,,
CCCCn1cc[n+](C)c1,0,0.5538411,,
CCCC[N+]1(C)CCCC1,0,0.5411104,,
O=S(=O)([O-])[O-],1,0.34594136,,
O=S([O-])([O-])=O,1,0.34594133,,
O=S([O-])([O-])=O,1,0.34594133,,
O=S([O-])(=O)[O-],1,0.34594133,,
[O-]S(=O)(=O)[O-],1,0.41701618,,
S(=O)([O-])(=O)[O-],1,0.5269842,,
O=S([O-])([O-])=O,1,0.34594133,,
O=S([O-])([O-])=O,1,0.34594133,,
CCCCn1cc[n+](C)c1C,0,0.4556321,,
CCCC[n+]1ccccc1,0,0.35965273,,
CC[N+]1(C)CCCC1,1,0.44226518,,
C1CCC[N+]1(CC)C,1,0.5639191,,
C1CCC[N+]1(CC)C,1,0.5639191,,
CC[N+]1(CCCC1)C,1,0.44226524,,
C1CCC[N+]1(CC)C,1,0.5639191,,
C1CCC[N+]1(CC)C,1,0.5639191,,
C([N+]1(C)CCCC1)C,1,0.4422652,,
C1C[N+](CC)(C)CC1,1,0.56391907,,
CCCC[n+]1ccccc1C,0,0.3247261,,
CCCC[N+]1(C)CCCCC1,0,0.5471292,,
CCCC[n+]1cccc(C)c1,0,0.33515084,,
O=[N+]([O-])[O-],0,0.22606905,,
CCC[N+]1(C)CCCC1,0,0.47253674,,
O=C([O-])[O-],1,0.28754053,,
[O-]C([O-])=O,1,0.48205578,,
[O-]C([O-])=O,1,0.48205578,,
[O-]C([O-])=O,1,0.48205578,,
[O-]C([O-])=O,1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
[O-]C(=O)[O-],1,0.48205578,,
c1cc[cH-]c1,0,0.23338518,,
CC[n+]1ccccc1,0,0.24899055,,
CCC[N+]1(C)CCCCC1,0,0.47982383,,
CCCn1cc[n+](C)c1,0,0.45746785,,
CCCCCCn1cc[n+](C)c1,1,0.5902034,,
c1n(CCCCCC)c[n+](c1)C,1,0.6080388,,
CCCCCCn1c[n+](cc1)C,1,0.5945538,,
C(n1c[n+](C)cc1)CCCCC,1,0.5945538,,
[n+]1(C)ccn(c1)CCCCCC,1,0.6080387,,
[n+]1(C)ccn(c1)CCCCCC,1,0.6080388,,
[n+]1(C)ccn(c1)CCCCCC,1,0.6080387,,
[n+]1(C)ccn(c1)CCCCCC,1,0.6080388,,
CCCCCCCCCCn1cc[n+](C)c1,1,0.6280609,,
C(CCCCC)CCCCn1cc[n+](C)c1,1,0.6280609,,
C(CCCCCn1cc[n+](c1)C)CCCC,1,0.6280609,,
C[n+]1cn(CCCCCCCCCC)cc1,1,0.57520527,,
c1c[n+](C)cn1CCCCCCCCCC,1,0.64054215,,
C(n1c[n+](cc1)C)CCCCCCCCC,1,0.6319377,,
CCCCCCCCn1cc[n+](C)c1,1,0.6122263,,
C(CCCCCCn1c[n+](cc1)C)C,1,0.6162282,,
C(n1c[n+](cc1)C)CCCCCCC,1,0.6162283,,
C(CCCCCCC)n1c[n+](cc1)C,1,0.6162283,,
n1(cc[n+](c1)C)CCCCCCCC,1,0.62480307,,
C(CCCCC)CCn1cc[n+](C)c1,1,0.6122263,,
CCn1cc[n+](C)c1C,0,0.3251296,,
CCCC[n+]1ccc(C)cc1,0,0.32150057,,
O=C([O-])c1ccccc1,0,0.21092439,,
Oc1cccc2cccnc12,0,0.23077404,,
OCCN(CCO)CCO,0,0.23833515,,
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,0.61257464,,
CC(NCC(COc1ccc(cc1)COCCOC(C)C)O)C,1,0.6125747,,
C(C(COc1ccc(COCCOC(C)C)cc1)O)NC(C)C,1,0.63523716,,
N(C(C)C)CC(COc1ccc(COCCOC(C)C)cc1)O,1,0.6389762,,
OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C,1,0.62190324,,
C(OCCOC(C)C)c1ccc(cc1)OCC(O)CNC(C)C,1,0.6625626,,
O=C(O)COc1ccc(Cl)cc1Cl,0,0.28188413,,
CCCCCCCCCCCCCCCCn1cc[n+](C)c1,1,0.67796314,,
C(CCCCCCCCCn1c[n+](cc1)C)CCCCCC,1,0.6811637,,
C(CCCCCCCCCCCCn1cc[n+](C)c1)CCC,1,0.67796314,,
