SMILES,Parent_Key,PUBCHEM_CID,source_rep,label,Sample_Weight,Children_N
CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,2758873,AID1671200,1,1.0,15
CC(=O)[O-],CC(=O)[O-],6537495,AID1671200,0,1.0,12
CCCCn1cc[n+](C)c1,CCCCn1cc[n+](C)c1,11171745,AID1671200,0,1.0,11
CCCC[N+]1(C)CCCC1,CCCC[N+]1(C)CCCC1,53316409,AID1671200,0,1.0,8
O=S(=O)([O-])[O-],O=S(=O)([O-])[O-],61444,AID1671200,1,1.0,7
CCCCn1cc[n+](C)c1C,CCCCn1cc[n+](C)c1C,2734167,AID1671200,0,1.0,7
CCCC[n+]1ccccc1,CCCC[n+]1ccccc1,2734176,AID1671200,0,1.0,6
CC[N+]1(C)CCCC1,CC[N+]1(C)CCCC1,12059921,AID1671200,1,1.0,6
CCCC[n+]1ccccc1C,CCCC[n+]1ccccc1C,13240377,AID1671200,0,1.0,6
CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1,12184311,AID1671200,0,1.0,6
CCCC[n+]1cccc(C)c1,CCCC[n+]1cccc(C)c1,12248306,AID1671200,0,1.0,6
O=[N+]([O-])[O-],O=[N+]([O-])[O-],24937,AID1671200,0,1.0,6
CCC[N+]1(C)CCCC1,CCC[N+]1(C)CCCC1,25171607,AID1671200,0,1.0,6
O=C([O-])[O-],O=C([O-])[O-],15407,AID1671200,1,1.0,5
c1cc[cH-]c1,c1cc[cH-]c1,92884,AID1671200,0,1.0,5
CC[n+]1ccccc1,CC[n+]1ccccc1,23160050,AID1671200,0,1.0,5
CCC[N+]1(C)CCCCC1,CCC[N+]1(C)CCCCC1,16726630,AID1671200,0,1.0,5
CCCn1cc[n+](C)c1,CCCn1cc[n+](C)c1,12040508,AID1671200,0,1.0,4
CCCCCCn1cc[n+](C)c1,CCCCCCn1cc[n+](C)c1,10411334,AID1671200,1,1.0,4
CCCCCCCCCCn1cc[n+](C)c1,CCCCCCCCCCn1cc[n+](C)c1,11461044,AID1671200,1,1.0,4
CCCCCCCCn1cc[n+](C)c1,CCCCCCCCn1cc[n+](C)c1,2734223,AID1671200,1,1.0,4
CCn1cc[n+](C)c1C,CCn1cc[n+](C)c1C,21932259,AID1671200,0,1.0,4
O,O,24644,AID1671200,0,1.0,4
CCCC[n+]1ccc(C)cc1,CCCC[n+]1ccc(C)cc1,13487610,AID1671200,0,1.0,4
O=C([O-])c1ccccc1,O=C([O-])c1ccccc1,23661960,AID1671200,0,1.0,3
Oc1cccc2cccnc12,Oc1cccc2cccnc12,1923,AID1671200,0,1.0,3
OCCN(CCO)CCO,OCCN(CCO)CCO,25213,AID1671200,0,1.0,3
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,5281064,AID1671200,1,1.0,3
O=C(O)COc1ccc(Cl)cc1Cl,O=C(O)COc1ccc(Cl)cc1Cl,16180,AID1671200,0,1.0,3
CCCCCCCCCCCCCCCCn1cc[n+](C)c1,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,2734231,AID1671200,1,1.0,3
C[N+](C)(C)CCO,C[N+](C)(C)CCO,53260965,AID1671200,1,1.0,3
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,54680782,AID1671200,0,1.0,3
F[B-](F)(F)F,F[B-](F)(F)F,4343483,AID1671200,0,1.0,3
S=C([S-])NCCNC(=S)[S-],S=C([S-])NCCNC(=S)[S-],3032297,AID1671200,0,1.0,3
CCN(CC)C(=S)[S-],CCN(CC)C(=S)[S-],26633,AID1671200,1,1.0,3
CCCCC(CC)C(=O)[O-],CCCCC(CC)C(=O)[O-],61082,AID1671200,0,1.0,3
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,5284342,AID1671200,1,1.0,3
[Br-],[Br-],253881,AID1671200,1,1.0,3
Nc1ccccc1,Nc1ccccc1,6115,AID1671200,0,1.0,3
[C-]#N,[C-]#N,10474,AID1671200,0,1.0,3
CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,20055509,AID1671200,0,1.0,3
NCCN,NCCN,3301,AID1671200,0,1.0,3
CNC,CNC,13379149,AID1671200,0,1.0,3
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,5284366,AID1671200,1,1.0,3
[I-],[I-],6432705,AID1671200,0,1.0,3
CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O,23663956,FAERS_signal,1,1.0,3
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,5281025,AID1671200,1,1.0,3
CN(C)C(=S)[S-],CN(C)C(=S)[S-],3485262,AID1671200,1,1.0,3
CCCCCC[n+]1ccccc1,CCCCCC[n+]1ccccc1,21917397,AID1671200,0,1.0,3
O=S(=O)(O)O,O=S(=O)(O)O,1118,AID1671200,0,1.0,3
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2162,FAERS_signal,1,1.0,3
Cc1ccccc1C(OCCN(C)C)c1ccccc1,Cc1ccccc1C(OCCN(C)C)c1ccccc1,83823,AID1671200,1,1.0,3
O=C1[N-]S(=O)(=O)c2ccccc21,O=C1[N-]S(=O)(=O)c2ccccc21,656582,AID1671200,0,1.0,2
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,56207,AID1671200,0,1.0,2
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,65028,FAERS_signal,1,1.0,2
Cc1ccc(S(=O)(=O)O)cc1,Cc1ccc(S(=O)(=O)O)cc1,6101,AID1671200,0,1.0,2
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,8413,AID1671200,0,1.0,2
[O-][Cl+2]([O-])[O-],[O-][Cl+2]([O-])[O-],516902,AID1671200,1,1.0,2
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,71306415,FAERS_signal,1,1.0,2
O=C(O)c1nc(Cl)ccc1Cl,O=C(O)c1nc(Cl)ccc1Cl,15553,AID1671200,0,1.0,2
Cc1ccc(S(=O)(=O)[N-]Cl)cc1,Cc1ccc(S(=O)(=O)[N-]Cl)cc1,53316400,AID1671200,0,1.0,2
N#C[S-],N#C[S-],516872,AID1671200,0,1.0,2
CCCC[N+](C)(CCCC)CCCC,CCCC[N+](C)(CCCC)CCCC,44630019,AID1671200,1,1.0,2
Cn1sccc1=O,Cn1sccc1=O,117746,AID1671200,0,1.0,2
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,46780884,AID1671200,1,1.0,2
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,3001055,FAERS_signal,1,1.0,2
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,62999,AID1671200,1,1.0,2
CCn1c2ccccc2c2cc(N)ccc21,CCn1c2ccccc2c2cc(N)ccc21,62130,AID1671200,0,1.0,2
CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,107807,AID1671200,0,1.0,2
Clc1ccc2nsnc2c1NC1=NCCN1,Clc1ccc2nsnc2c1NC1=NCCN1,5487,AID1671200,1,1.0,2
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,5281056,AID1671200,0,1.0,2
O=c1nc([O-])n(Cl)c(=O)n1Cl,O=c1nc([O-])n(Cl)c(=O)n1Cl,23667638,AID1671200,0,1.0,2
CC(C)(C)NCC(O)c1ccccc1Cl,CC(C)(C)NCC(O)c1ccccc1Cl,5702285,AID1671200,1,1.0,2
[Cl][In]([Cl])[Cl],[Cl][In]([Cl])[Cl],60196432,AID1671200,0,1.0,2
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2083,FAERS_signal,1,1.0,2
CCOC(=S)[S-],CCOC(=S)[S-],2735045,AID1671200,0,1.0,2
[K+],[K+],5462222,FAERS_signal,1,1.0,2
COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,9568613,FAERS_signal,1,1.0,2
C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],24884197,AID1671200,0,1.0,2
C1CNCCN1,C1CNCCN1,4837,AID1671200,0,1.0,2
CCCC[P+](CCCC)(CCCC)CCCC,CCCC[P+](CCCC)(CCCC)CCCC,76564,AID1671200,1,1.0,2
[Ca+2],[Ca+2],5284359,AID1671200,1,1.0,2
C[N+](C)(C)C,C[N+](C)(C)C,6379,AID1671200,0,1.0,2
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2776282,AID1671200,0,1.0,2
[Hg+2],[Hg+2],5284416,AID1671200,1,1.0,2
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,5281055,AID1671200,0,1.0,2
C[N+](C)(C)CCCCCC[N+](C)(C)C,C[N+](C)(C)CCCCCC[N+](C)(C)C,3604,AID1671200,0,1.0,2
C1COCCN1,C1COCCN1,8083,AID1671200,0,1.0,2
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,60815,FAERS_signal,1,1.0,2
CC(C)NCC(O)c1ccc(O)c(O)c1,CC(C)NCC(O)c1ccc(O)c(O)c1,5807,AID1671200,1,1.0,2
CCCCCCCCCCCCN,CCCCCCCCCCCCN,458426,AID1671200,1,1.0,2
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,71399,AID1671200,1,1.0,2
C[n+]1ccn(CCO)c1,C[n+]1ccn(CCO)c1,11499271,AID1671200,0,1.0,2
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4095,FAERS_signal,1,1.0,2
